timestamp_ms,temperature_c,vibration_rms_g,vibration_peak_g
283000,58.82,0.3686,0.6831
284000,61.3,0.3588,0.5254
285000,62.77,0.3522,0.5903
286000,64.7,0.3233,0.8527
287000,61.67,0.1667,0.6172
288000,63.65,0.3539,0.4132
289000,54.2,0.1798,0.6392
290000,58.67,0.2194,0.6847
291000,57.63,0.3576,0.499
292000,62.56,0.3903,0.6825
293000,54.44,0.2388,0.7555
294000,59.15,0.2688,0.7019
295000,65.91,0.3901,0.7957
296000,59.93,0.2954,0.5058
297000,60.68,0.4584,0.67
298000,56.67,0.3347,0.6737
299000,60.72,0.3149,0.5549
